All installed packages:
1password-beta 8.10.39_2.BETA-2
7-zip-bin 24.07-1
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accerciser 3.42.0+r100+g6e6256e-2
accountsservice 23.13.9-2
acl 2.3.2-1
acme-cli 2.0.0-1
ada 2.9.0-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47beta-1
adwaita-icon-theme 47beta-1
adwaita-icon-theme-legacy 46.2-1
aha 0.5.1-3
allure 0.11.0.0-145
alpm_octopi_utils 1.0.2-6
alsa-card-profiles 1:1.2.2-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.12-1
alsa-plugins 1:1.2.12-3
alsa-scarlett-gui 0.4.0-2
alsa-tools 1.2.11-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
alsa-utils 1.2.12-1
alsamixer.app 1:0.1-1
alsamixer.app-debug 1:0.1-1
amf-headers 1.4.34-1
aom 3.9.1-1
apache 2.4.62-1
apparmor 3.1.7-3
appstream 1.0.3-1
appstream-glib 0.8.3-1
apr 1.7.4-1
apr-util 1.6.3-1
aquamarine-git 0.3.1_r175.g9b33a38-1
arandr 0.1.11-3
archlinux-appstream-data 20240526-1
archlinux-keyring 20240709-1
argon2 20190702-6
argyllcms 3.2.0-1
aribb24 1.0.3-4
asciidoc 10.2.1-1
asio 1.28.0-2
aspell 0.60.8.1-2
at-spi2-core 2.53.1-1
atool 0.39.0-9
attr 2.5.2-1
audit 4.0.1-3
aura 4.0.2-1
aura-debug 4.0.2-1
autoconf 2.72-1
autoconf-archive 1:2023.02.20-2
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
avisynthplus 3.7.3-2
awesome-terminal-fonts 1.1.0-5
axel 2.17.14-1
babl 0.1.108-1
balsa 2.6.4-2
baobab 47alpha-1
base 3-2
base-devel 1-1
bash 5.2.032-1
bash-completion 2.14.0-2
bat 0.24.0-2
bauh 0.10.7-1
bc 1.07.1-5
benchmark 1.8.5-1
betterdiscord-installer 1.3.0-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-6
blas 3.12.0-5
blosc 1.21.6-1
bluez 5.77-1
bluez-libs 5.77-1
bolt 0.9.8-1
boost 1.83.0-9
boost-libs 1.83.0-9
breeze-grub 6.1.4-1
breeze-gtk 6.1.4-1
breeze-plymouth 6.1.4-1
bridge-utils 1.7.1-2
brightness 24.1.0-2
brightness-debug 24.1.0-2
brltty 6.6-11
brother-hll2395dw 4.0.0-2
brother-hll2395dw-debug 4.0.0-2
brotli 1.1.0-2
btop 1.3.2-1
btrfs-progs 6.10-1
bubblewrap 0.9.0-1
bzip2 1.0.8-6
c-ares 1.29.0-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.103-1
ca-certificates-utils 20240618-1
cairo 1.18.0-2
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.1-3
cblas 3.12.0-5
cdparanoia 10.2-9
cdrtools 3.02a09-6
certbot 2.11.0-1
certbot-nginx 2.11.0-1
chafa 1.14.1-1
chromaprint-fftw 1.5.1-2
chromaprint-fftw-debug 1.5.1-2
cifs-utils 7.0-4
cjson 1.7.18-1
clang 18.1.8-2
clinfo 3.0.23.01.25-1
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-4
cmake 3.30.2-1
cmark 0.31.1-1
cmark-gfm 0.29.0.gfm.13-1
cockpit 322-1
cockpit-packagekit 322-1
cockpit-pcp 322-1
cockpit-storaged 322-1
codec2 1:1.2.0-1
cogl 1.22.8-2
color-scheme-monitor 0.1.3-2
color-scheme-monitor-debug 0.1.3-2
color-scripts-git r59.299a816-1
colord 1.4.7-2
colord-gtk 0.3.1-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.7-2
compiler-rt 18.1.8-1
composefs 1.0.3-1
conntrack-tools 1.4.8-1
containerd 1.7.20-1
convertlit 1.8-12
coreutils 9.5-1
cppdap 1.58.0-2
cracklib 2.10.1-1
crypto++ 8.9.0-1
cryptsetup 2.7.4-1
ctags 1:6.1.0-2
cuda 12.5.1-1
cudnn 9.2.1.18-1
cups 2:2.4.10-1
cups-filters 2.0.0-2
cups-pk-helper 0.2.7-2
curl 8.9.1-2
d-spy 47alpha-1
dav1d 1.4.3-1
davs2 1.7-1
davs2-debug 1.7-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dbus-units 36-4
dconf 0.40.0-3
dconf-editor 45.0.1-1
ddcutil 2.1.4-1
debugedit 5.0-6
decklink-sdk 1:14.1-1
default-cursors 2-2
dehydrated 0.7.1-2
deja-dup 46.1-1
desktop-file-utils 0.27-1
devhelp 43.0-1
device-mapper 2.03.25-2
diffutils 3.10-1
directx-headers 1.614.0-1
discord 0.0.63-1
discount 3.0.0.d-1
displaycal 3.9.12-2
djvulibre 3.5.28-6
dleyna 0.8.3-1
dmidecode 3.6-1
docbook-xml 4.5-10
docbook-xsl 1.79.2-8
docker 1:27.1.1-1
docker-buildx 0.16.2-1
docker-compose 2.29.1-1
docker-scan 0.26.0-2
dotconf 1.4.1-1
double-conversion 3.3.0-2
doxygen 1.11.0-4
dtc 1.7.0-5
duf 0.8.1-3
duktape 2.7.0-7
duplicity 3.0.0-2
dust 1.1.1-1
dvisvgm 3.4-1
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
ed 1.20.2-2
editorconfig-core-c 0.12.9-1
edk2-ovmf 202311-1
efibootmgr 18-3
efivar 39-1
egl-wayland 3:1.1.13.1-1
eglexternalplatform 1.1-3
eigen 3.4.0-2
electron29 1:29.4.5-1
electron31 31.3.1-1
element-desktop 1.11.73-1
element-web 1.11.73-1
enchant 2.8.0-1
endeavour 43.0-3
eog 47beta-1
epiphany 47alpha-1
evince 46.3.1-1
evolution 3.53.2-2
evolution-data-server 3.53.2-1
exempi 2.6.5-1
exiv2 0.28.3-1
expat 2.6.2-1
eza 0.19.0-1
faac 1.30-5
faad2 2.11.1-1
facebook-desktop-app 1.0-3
facebook-desktop-app-debug 1.0-3
fakeroot 1.35-1
farstream 0.2.9-3
fastfetch-git 2.21.1.r7.g55b1603b-1
fdkaac-git 1.0.5.r14.g98d90e7-1
fdkaac-git-debug 1.0.5.r14.g98d90e7-1
fdupes 1:2.2.1-3
ffcall 2.4-3
ffmpeg-libfdk_aac 2:7.0.1-2
ffmpeg-libfdk_aac-debug 2:7.0.1-2
ffmpeg4.4 4.4.4-6
ffnvcodec-headers 12.2.72.0-1
fftw 3.3.10-7
file 5.45-1
file-roller 44.3-1
filesystem 2024.04.07-1
findutils 4.10.0-1
firefox 129.0-1
five-or-more 3.32.3-2
flac 1.4.3-2
flatpak 1:1.15.9-1
flex 2.6.4-5
floorp-bin 11.16.0-1
fltk 1.3.9-1
fluidsynth 2.3.6-1
fmt 10.2.0-1
folks 0.15.9-1
fontconfig 2:2.15.0-2
fontdownloader-git r447.3f2e198-1
four-in-a-row 3.38.1-2
freeglut 3.6.0-1
freetype2 2.13.2-2
frei0r-plugins 2.3.3-2
fribidi 1.0.15-1
fstabfmt 1.2.0-1
fstabfmt-debug 1.2.0-1
fuse-archive 0.1.14-1
fuse-archive-debug 0.1.14-1
fuse-common 3.16.2-1
fuse-ext2 0.0.11-1
fuse-ext2-debug 0.0.11-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fuseiso 20070708-9
fzf 0.54.3-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 14.2.1+r32+geccf707e5ce-1
gcc-fortran 14.2.1+r32+geccf707e5ce-1
gcc-libs 14.2.1+r32+geccf707e5ce-1
gcc13 13.3.0-1
gcc13-libs 13.3.0-1
gconf 3.2.6+11+g07808097-10
gconf-debug 3.2.6+11+g07808097-10
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdal 3.9.1-3
gdb 15.1-1
gdb-common 15.1-1
gdbm 1.24-1
gdk-pixbuf2 2.42.12-1
gdm 47alpha-1
geary 1:46.0-1
gedit 47.0-1
gegl 0.4.48-4
geoclue 2.7.1-3
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geoip 1.6.12-3
geoip-database 20240720-1
geos 3.12.2-1
gettext 0.22.5-1
ghc-libs 9.2.8-1
ghex 46.0-1
ghostscript 10.03.1-1
gi-docgen 2024.1-1
giflib 5.2.2-1
gimp 2.10.38-1
git 2.46.0-1
git-lfs 3.5.1-1
gitg 2:44-2
github-cli 2.54.0-1
gjs 2:1.81.2-1
glade 3.40.0+r14+g1fbca367-3
glew 2.2.0-7
glib-networking 1:2.80.0-3
glib2 2.81.1-1
glib2-devel 2.81.1-1
glib2-docs 2.81.1-1
glibc 2.40+r16+gaa533d58ff-2
glibmm-2.68 2.80.0-1
glslang 14.2.0-1
glu 9.0.3-2
glycin 1.1beta-1
gmime3 3.2.15-1
gmp 6.3.0-2
gn 0.2174.b3a0bff4-1
gnome-2048 3.38.2-3
gnome-alsamixer 0.9.7-4
gnome-alsamixer-debug 0.9.7-4
gnome-autoar 0.4.4-1
gnome-backgrounds 47beta-1
gnome-bluetooth-3.0 47beta-1
gnome-boxes 46.1-1
gnome-builder 47beta-1
gnome-calculator 47beta-1
gnome-calendar 47beta-1
gnome-characters 47alpha-1
gnome-chess 46.0-1
gnome-clocks 46.0-1
gnome-color-manager 3.36.0+r62+g82000f1d-1
gnome-common 3.18.0-4
gnome-console 46.0-2
gnome-contacts 47alpha-1
gnome-control-center 47beta-1
